dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1/1/1970,2.836,0.084,8.288,0.117,-2.584,0.099,13.711,0.052
2/1/1970,3.735,0.082,9.543,0.108,-2.02,0.127,14.022,0.053
3/1/1970,5.272,0.114,11.066,0.18,-0.545,0.211,14.503,0.058
4/1/1970,8.603,0.066,14.383,0.179,2.739,0.113,15.44,0.051
5/1/1970,11.206,0.099,17.165,0.121,5.402,0.107,16.104,0.055
6/1/1970,13.513,0.086,19.368,0.203,7.599,0.189,16.672,0.056
7/1/1970,14.395,0.1,20.254,0.114,8.723,0.099,16.912,0.058
8/1/1970,13.658,0.062,19.43,0.179,8.097,0.122,16.748,0.052
9/1/1970,12.277,0.063,17.879,0.089,6.62,0.124,16.335,0.055
10/1/1970,9.348,0.042,14.96,0.089,3.787,0.103,15.42,0.051
11/1/1970,6.047,0.059,11.562,0.109,0.524,0.082,14.418,0.05
12/1/1970,3.521,0.05,8.941,0.094,-1.829,0.084,13.707,0.048
1/1/1971,2.967,0.101,8.531,0.122,-2.531,0.125,13.615,0.054
2/1/1971,2.867,0.17,8.579,0.145,-2.723,0.199,13.627,0.067
3/1/1971,5.001,0.063,10.967,0.154,-0.896,0.11,14.254,0.049
4/1/1971,8.339,0.067,14.267,0.09,2.516,0.251,15.227,0.049
5/1/1971,11.211,0.112,17.186,0.12,5.384,0.159,15.963,0.058
6/1/1971,13.099,0.104,18.992,0.227,7.436,0.126,16.539,0.059
7/1/1971,14.139,0.106,19.984,0.142,8.511,0.125,16.846,0.061
8/1/1971,13.879,0.076,19.593,0.122,8.086,0.082,16.752,0.056
9/1/1971,12.139,0.129,17.918,0.317,6.463,0.303,16.22,0.062
10/1/1971,9.388,0.106,15.146,0.127,3.809,0.16,15.298,0.056
11/1/1971,6.295,0.076,11.842,0.112,0.931,0.131,14.399,0.052
12/1/1971,3.867,0.065,9.228,0.118,-1.439,0.126,13.66,0.051
1/1/1972,1.882,0.086,7.392,0.143,-3.549,0.205,13.298,0.053
2/1/1972,2.609,0.105,8.219,0.113,-3.115,0.199,13.644,0.054
3/1/1972,5.287,0.05,11.169,0.087,-0.672,0.152,14.446,0.048
4/1/1972,8.337,0.067,14.148,0.123,2.498,0.11,15.291,0.051
5/1/1972,11.155,0.091,16.968,0.125,5.361,0.196,16.095,0.058
6/1/1972,13.501,0.113,19.231,0.156,7.627,0.127,16.729,0.061
7/1/1972,14.231,0.118,20.037,0.123,8.568,0.104,16.956,0.063
